YdreFjord;UpperIndrefjord;NedreIndreFjord;Kattegat
15.97587757;16.49751613;19.31598551;27.94099477
16.12038777;16.53677696;19.34835695;27.92014218
16.26489797;16.57603779;19.38072839;27.89928958
16.40940817;16.61529862;19.41309984;27.87843699
16.55391837;16.49751613;19.31598551;27.8575844
16.69842857;16.53677696;19.34835695;27.83673181
16.84293877;16.57603779;19.38072839;27.81587921
16.98744898;16.61529862;19.41309984;27.79502662
17.13195918;16.65455945;19.44547128;27.77417403
17.27646939;16.69382028;19.47784272;27.75332144
17.42097959;16.73308111;19.51021416;27.73246884
17.5654898;16.77234194;19.5425856;27.71161625
17.71;16.81160276;19.57495705;27.69076366
17.75931185;16.85086359;19.60732849;27.66991107
17.8086237;16.89012442;19.63969993;27.64905847
17.85793556;16.92938525;19.67207137;27.62820588
17.90724741;16.96864608;19.70444281;27.62707281
17.95655926;17.00790691;19.73681426;27.62593973
18.00587111;17.04716774;19.7691857;27.62480666
18.05518296;17.08642857;19.80155714;27.62367359
18.10449481;17.06430564;19.78908958;27.62254052
18.15380667;17.0421827;19.77662203;27.62140744
18.20311852;17.02005977;19.76415447;27.62027437
18.25243037;16.99793684;19.75168692;27.6191413
18.30174222;16.97581391;19.73921936;27.61800822
18.35105407;16.95369097;19.72675181;27.61687515
18.40036593;16.93156804;19.71428425;27.61574208
18.44967778;16.90944511;19.7018167;27.61460901
18.49898963;16.88732217;19.68934914;27.61347593
18.54830148;16.86519924;19.67688159;27.61234286
18.59761333;16.84307631;19.66441403;26.96031564
18.64692519;16.82095337;19.65194648;26.30828843
18.69623704;16.79883044;19.63947892;25.65626121
18.74554889;16.77670751;19.62701137;25.00423399
18.79486074;16.75458458;19.61454381;24.35220678
18.84417259;16.73246164;19.60207626;23.70017956
18.89348444;16.71033871;19.5896087;23.04815235
18.9427963;16.70228638;19.56445066;22.39612513
18.99210815;16.69423406;19.53929261;21.74409791
19.04142;16.68618173;19.51413457;21.0920707
19.00363228;16.6781294;19.48897652;20.44004348
18.96584456;16.67007708;19.46381848;20.7288007
18.92805683;16.66202475;19.43866043;21.01755792
18.89026911;16.65397242;19.41350239;21.30631514
18.85248139;16.6459201;19.38834434;21.59507235
18.81469367;16.63786777;19.3631863;21.88382957
18.77690595;16.62981544;19.33802825;22.17258679
18.73911822;16.62176312;19.31287021;22.46134401
18.7013305;16.61371079;19.28771216;22.75010123
18.66354278;16.60565846;19.26255412;23.03885845
18.62575506;16.59760614;19.23739607;23.32761566
18.58796734;16.58955381;19.21223803;23.61637288
18.55017961;16.58150148;19.18707998;23.9051301
