Q1v;Q2v;Q3v
3.0017711177673307;2.739297740505836;3.0017711177673307
2.8941487561298755;2.60767542819614;2.8941487561298755
2.9344217891495243;2.605238903450609;2.9344217891495243
2.930488451162638;2.5956340437412346;2.930488451162638
2.768369839009536;2.3705092566595263;2.768369839009536
2.677593604748708;2.2220080116693475;2.677593604748708
2.7347964081479974;2.2674299495042978;2.7347964081479974
2.782671709628404;2.3416310264478435;2.782671709628404
2.9563164160563966;2.4829234423748154;2.9563164160563966
2.919387676692181;2.5834803662438244;2.919387676692181
3.473418266485061;3.548418870733169;3.473418266485061
3.744312068578507;4.1474843003111905;3.744312068578507
3.2802100752865866;3.196803284736001;3.2802100752865866
2.984739276521778;2.6866984009433734;2.984739276521778
2.922468868204301;2.516685442911529;2.922468868204301
2.8194367371210114;2.31076544366065;2.8194367371210114
2.7090540680610475;2.2029873158241653;2.7090540680610475
2.7645746397170323;2.322593820522643;2.7645746397170323
2.8539134318550166;2.578828594697172;2.8539134318550166
2.816898854077857;2.633774526534686;2.816898854077857
2.7459582280638495;2.5406014569508613;2.7459582280638495
2.7098093334098197;2.4855432626938216;2.7098093334098197
2.6749068958505227;2.428071670052468;2.6749068958505227
2.623172437266969;2.3610001492896595;2.623172437266969
2.603636127532861;2.3226912575554297;2.603636127532861
2.5790994600465957;2.2963750470712014;2.5790994600465957
2.5558995729625456;2.265252685074112;2.5558995729625456
2.517030075180952;2.1981819913464533;2.517030075180952
2.531349873268044;2.2005408972798146;2.531349873268044
2.536562200555418;2.2412780434080775;2.536562200555418
2.5210654627683833;2.2341278419715724;2.5210654627683833
2.5184958524944996;2.229320863423561;2.5184958524944996
2.5442311484877154;2.2316459221617366;2.5442311484877154
2.5452240434776954;2.229215186662255;2.5452240434776954
2.60372531691914;2.3297481571348975;2.60372531691914
2.622862561969632;2.3704555912437235;2.622862561969632
2.6815410085667475;2.4566369745330023;2.6815410085667475
2.597199107322066;2.3370279887290746;2.597199107322066
2.5477075148037387;2.222048475145732;2.5477075148037387
2.5466339306195156;2.17894497976776;2.5466339306195156
2.546793176306962;2.1718096343409727;2.546793176306962
2.5506468431352913;2.178994510007813;2.5506468431352913
2.535167321916135;2.1574002465660573;2.535167321916135
2.5055127189241033;2.1023082051138324;2.5055127189241033
2.474381993604937;2.0496460721259395;2.474381993604937
2.464102362479746;2.0400824723051203;2.464102362479746
2.548560344313043;2.1166622734026452;2.548560344313043
2.7482189278994547;2.3513151590396877;2.7482189278994547
2.6794208067649405;2.3106894789187797;2.6794208067649405
2.7832552576300733;2.430371121323978;2.7832552576300733
2.910262265768828;2.53571768662583;2.910262265768828
2.937154309819971;2.602811506714705;2.937154309819971
3.3845501339403787;3.3522185665855764;3.3845501339403787
3.082143810501445;2.8112299664784164;3.082143810501445
2.9485895202388006;2.7824821628365775;2.9485895202388006
2.8904314774176956;2.56446711371499;2.8904314774176956
3.233700327084881;3.1943270929262564;3.233700327084881
3.347848747590809;3.0721503593947834;3.347848747590809
3.9957509281988677;3.3116622655483186;3.9957509281988677
3.7885088459930203;3.3953460459828944;3.7885088459930203
3.8520780916418955;3.3190271592710143;3.8520780916418955
3.3063895019922507;2.801711792344881;3.3063895019922507
3.180644287851471;2.7178513326180287;3.180644287851471
3.2921207200822633;3.019528720506254;3.2921207200822633
3.4578670177962585;3.304716893222164;3.4578670177962585
3.154587929174233;2.751468846987351;3.154587929174233
3.005603136309869;2.5167193207296936;3.005603136309869
3.173099174956396;2.770486204068955;3.173099174956396
3.2799179767288713;2.9094841309353168;3.2799179767288713
3.051595113831279;2.5790383553954426;3.051595113831279
2.9506369224363422;2.4472492575922886;2.9506369224363422
2.8793114539766083;2.3371080886466937;2.8793114539766083
2.857444757949958;2.2892132977655777;2.857444757949958
2.8224870252337606;2.258035616282385;2.8224870252337606
2.797906597633838;2.2124865293952123;2.797906597633838
2.974331975665796;2.375279906906903;2.974331975665796
3.374537403341207;3.086441634258166;3.374537403341207
3.2397388022625866;2.8614852867402147;3.2397388022625866
3.4071164015265554;3.1392449758958296;3.4071164015265554
3.7035182762267094;3.8195064156065843;3.7035182762267094
3.5899546691164064;3.2327400992204294;3.5899546691164064
3.185438589364086;2.689142369005253;3.185438589364086
2.9846360774127962;2.454451470374297;2.9846360774127962
2.904339006618967;2.351477012945225;2.904339006618967
2.8525320363106355;2.279627398618692;2.8525320363106355
2.839632163243612;2.248466227215517;2.839632163243612
2.8228711567791405;2.301157245187697;2.8228711567791405
2.810052643285487;2.2748063604731334;2.810052643285487
2.981448009804002;2.4231730130947398;2.981448009804002
3.009682284010959;2.4855448861411427;3.009682284010959
3.0062110786467384;2.356269104860539;3.0062110786467384
2.840964048385838;2.246099050930657;2.840964048385838
2.7723081476207123;2.1694647573821793;2.7723081476207123
2.7062646397286616;2.1095797663565117;2.7062646397286616
2.6738107612303423;2.0999814923053566;2.6738107612303423
2.6426710721770634;2.054452223638801;2.6426710721770634
2.6271545465130215;2.0471790083258226;2.6271545465130215
2.598699953307415;2.037457720398194;2.598699953307415
2.5676423347278536;2.0041126682836343;2.5676423347278536
2.563775635691288;1.9897569459245221;2.563775635691288
2.575591463674984;1.9825200589121785;2.575591463674984
2.6872063549363805;2.1166226369614107;2.6872063549363805
2.627285635604175;2.121413932464554;2.627285635604175
2.668481704240592;2.1310600826854627;2.668481704240592
3.249593199021645;2.646042089898943;3.249593199021645
3.5916591932915036;3.316776288712492;3.5916591932915036
3.810736678842867;2.746717984337613;3.810736678842867
3.279386676377488;2.581399742434254;3.279386676377488
2.956458000512906;2.332101335068168;2.956458000512906
2.7814796106973225;2.212171183804573;2.7814796106973225
2.7439077966932373;2.1522151902479343;2.7439077966932373
2.6389011855026325;2.049577581323397;2.6389011855026325
2.565016451782602;2.0496048122373844;2.565016451782602
2.9207836380855574;2.396872516278359;2.9207836380855574
2.7660557884000734;2.2388043939497404;2.7660557884000734
2.7165149860144897;2.1118503632667136;2.7165149860144897
2.6129831912358465;2.049657650618037;2.6129831912358465
2.6640448748420575;2.131097268644227;2.6640448748420575
2.81834661590347;2.813756454317406;2.81834661590347
2.6312929071165323;2.346645284588676;2.6312929071165323
2.5249345070211744;2.1526329350822593;2.5249345070211744
2.466573765534304;2.0520388558774654;2.466573765534304
2.4212194189541334;2.023287774718006;2.4212194189541334
2.386250630324003;1.9802024434903511;2.386250630324003
2.357763217033153;1.9370659279523428;2.357763217033153
2.3591969605261047;1.9155228488209401;2.3591969605261047
2.3489152372210924;1.8843814956383829;2.3489152372210924
2.3152074350589236;1.8628227334621124;2.3152074350589236
2.3426537771154554;1.8507904157708763;2.3426537771154554
2.727929048727716;2.0373297443108207;2.727929048727716
2.6695222587562073;2.1164277935188163;2.6695222587562073
2.4943179843028553;1.9416367725462256;2.4943179843028553
2.433357690901326;1.8770158055035167;2.433357690901326
2.484105183377806;1.92730334951318;2.484105183377806
2.4475744406080384;1.879466359223616;2.4475744406080384
2.6313040220707395;2.09728242972686;2.6313040220707395
2.6515632187996125;2.185931703851406;2.6515632187996125
2.5398199256417113;2.1524487818506555;2.5398199256417113
2.456866510611329;2.0064047068617747;2.456866510611329
2.407644869979767;2.0160153558171983;2.407644869979767
2.373961635069075;1.9513572334387042;2.373961635069075
2.35831868380283;1.9011068447648263;2.35831868380283
2.376819967071046;1.826852929440627;2.376819967071046
2.3998040103273994;1.8268512753703272;2.3998040103273994
2.3273382404369976;1.798072136261731;2.3273382404369976
2.311606578913782;1.7813385167837898;2.311606578913782
2.2999389407035995;1.7742039983921525;2.2999389407035995
2.301307044026064;1.8029468092001137;2.301307044026064
2.343986448522329;1.8675834592876905;2.343986448522329
2.348011682345994;1.8602937338946939;2.348011682345994
2.3221370444278584;1.865135386673041;2.3221370444278584
2.261165215983087;1.728658219645579;2.261165215983087
2.2431447202156485;1.7071522958499619;2.2431447202156485
2.244485569091987;1.728761415301436;2.244485569091987
2.265367391191385;1.7503020133273886;2.265367391191385
2.2548622791934334;1.7168372554769553;2.2548622791934334
2.28280938787757;1.759865613148208;2.28280938787757
2.509608932649981;2.0927189672033677;2.509608932649981
2.6997963373043463;2.2483588351379535;2.6997963373043463
3.1152292804849417;2.4869394686603523;3.1152292804849417
3.9197287686070132;3.690113256580661;3.9197287686070132
3.339538628901076;2.598079604627456;3.339538628901076
3.4211268190534616;2.689037458033139;3.4211268190534616
2.9079727563896483;2.3827595135315947;2.9079727563896483
2.5534692862800368;2.030731053042063;2.5534692862800368
2.4289260987412034;1.9062061037882183;2.4289260987412034
2.563634279882672;2.011551842054921;2.563634279882672
2.3715100198915238;1.8822843005028371;2.3715100198915238
2.304216772695265;1.793654844598908;2.304216772695265
2.274290836536993;1.7625143184515006;2.274290836536993
2.2586109967113814;1.6906548103261487;2.2586109967113814
2.253427421035128;1.702628500390683;2.253427421035128
2.4580965405201662;1.8365709092276563;2.4580965405201662
2.5882511546875606;2.4712956063325278;2.5882511546875606
2.4183534456427633;1.9372434036567903;2.4183534456427633
2.3907531569237817;1.783946758610698;2.3907531569237817
2.4341042835186193;1.7145171589496782;2.4341042835186193
2.5635404500968137;1.7169107391133753;2.5635404500968137
2.3757654220885787;1.6522212506451455;2.3757654220885787
4.614184073849527;4.170249448468255;4.614184073849527
4.413093186261665;4.870799000616631;4.413093186261665
3.9048082039408576;4.282050171373947;3.9048082039408576
3.1436218698274425;2.660658083346424;3.1436218698274425
2.773766782010021;2.382792656183546;2.773766782010021
2.580394936681071;2.1528319443235815;2.580394936681071
2.4273167738777266;1.9636009658985105;2.4273167738777266
2.331404717164125;1.9276749028710298;2.331404717164125
2.322483439362639;1.805493176505679;2.322483439362639
2.3640310455520948;1.831837444939044;2.3640310455520948
2.287162149242717;1.7720044652588791;2.287162149242717
2.2743067471896974;1.7600423230634636;2.2743067471896974
2.293816992507334;1.685771070624097;2.293816992507334
2.3070630905246854;1.7001408219577776;2.3070630905246854
2.2560315398090696;1.6618484403035656;2.2560315398090696
2.2313545123621994;1.8558434220718354;2.2313545123621994
2.22045559418441;1.6522476851469612;2.22045559418441
2.2677505766959976;1.6929485029745888;2.2677505766959976
2.27800594770505;1.8175171932224377;2.27800594770505
2.228636596429283;1.6642378852915134;2.228636596429283
2.205379322008512;1.6546734584355443;2.205379322008512
2.238398438540635;1.733612165466431;2.238398438540635
2.600400479616863;2.1838212761534628;2.600400479616863
2.5024920126856354;1.951570241031616;2.5024920126856354
2.878701424586769;2.1955217075510625;2.878701424586769
3.1977674059072956;3.412368423434765;3.1977674059072956
3.0008516126406173;3.0532599982505073;3.0008516126406173
2.9850254627061266;2.4546190216569466;2.9850254627061266
2.652271113801379;2.356440821941917;2.652271113801379
2.53511469562034;2.066629854532578;2.53511469562034
2.7595507481449943;2.406634237059393;2.7595507481449943
2.8403957600991085;2.8641025340848354;2.8403957600991085
