GNS_YDRE;GNS_INDRE
5.649825711169539;6.6516036194396655
5.6698421739240255;6.616619272606123
5.7188357873902005;6.555755282608962
5.71928144437766;6.509011082242738
5.755141055794875;6.5140161126078215
5.820086384322632;6.505941875720609
5.858993708032164;6.457237547578487
5.8918836872057385;6.440654143009961
5.903887078296411;6.81142728870442
5.913307620868493;6.459698145249511
5.9050742696147145;6.2807467561716805
5.828740171488037;6.135830433322329
5.838482950464269;6.13690150381355
5.9242608423822505;6.230463818807177
5.99897249110434;6.720066880843319
6.064332503581577;7.137790536243887
6.121280577372943;7.039251122073515
6.158609228950435;6.888069263128827
6.154331795099694;6.689235643334573
6.146328065318095;6.6409164043667674
6.1656525812323135;6.658363266338633
6.195384876177777;6.692318977621924
6.228855666297882;6.738850065906149
6.269246743541341;6.790933165184971
6.302672755046082;6.868253070226822
6.3417235316650356;6.912123229625626
6.378994627539985;6.941827214547423
6.424307977007526;6.998392741662234
6.465515926130453;7.042541267596686
6.498828225136008;7.08623525217946
6.527292011320105;7.141502774529008
6.555839335342271;7.191977655530069
6.531904724222248;7.245069014275508
6.5076150640948045;7.37517351050991
6.47890387307388;7.413686665802274
6.431871258764505;7.4942023575280095
6.394122292182949;7.468188888374086
6.367948855056356;7.530489536619676
6.362145073978073;7.619096686856014
6.356513306681739;7.62899880117184
6.333373801086091;7.653343070088252
6.308232427425205;7.704368477235795
6.287386083642374;7.737471809460488
6.261014043259366;7.772872479550987
6.234290635645327;7.821478167552372
6.204367876195154;7.855786599429411
6.175160136084736;7.856732629284629
6.139434237179588;7.863410136741213
6.09030598063169;7.924722503110431
6.064499390746443;7.843615006020029
6.037223027874378;7.7487593789392255
6.008245648045894;7.725591927762731
5.972466605509569;7.557689917633868
5.95422331633888;7.618583455411308
5.964294672270278;7.586790874100724
5.959888481211526;7.551964071948039
5.940550298393131;7.446909371403765
5.9327755818497305;7.344567406322713
5.900525002443751;7.289417737699359
5.8728244265103395;7.239816495864954
5.835056858984527;7.2579284779774
5.8041527531938915;7.272905480076229
5.773921402097207;7.255619716766706
5.7467022166289965;7.202130753160377
5.754164219053904;7.148643814765626
5.764482817621681;7.153169688868334
5.77815776590097;7.135136198557834
5.792568177866724;7.059141466046476
5.802477319052356;7.065091699866853
5.816492618877434;7.1030728508889664
5.835136601251965;7.085778208254862
5.8508386404207045;7.077706896376972
5.867184693203959;7.032342792984336
