Dato;OvreTN;OvreInorganisk_N[mg/l];OvreOrganisk_N[mg/l];NedreTN;NedreInorganisk_N[mg/l];NedreOrganisk_N[mg/l]
2017-08-22;0.5663958;0.0060999999999999995;0.5602958;1.794012;1.3015;0.49251199999999995
2017-08-23;0.5699811;0.00795;0.5620310999999999;1.81090778571429;1.3195964285714257;0.4913113571428644
2017-08-24;0.5735664;0.009800000000000001;0.5637664000000001;1.82780357142857;1.3376928571428617;0.49011071428570835
2017-08-25;0.5771517;0.01165;0.5655017;1.84469935714286;1.3557892857142873;0.4889100714285728
2017-08-26;0.580737;0.0135;0.567237;1.86159514285714;1.3738857142857128;0.48770942857142724
2017-08-27;0.5843223000000001;0.015350000000000003;0.5689723;1.87849092857143;1.3919821428571386;0.48650878571429146
2017-08-28;0.5879076;0.01719999999999999;0.5707076;1.8953867142857102;1.4100785714285744;0.48530814285713564
2017-08-29;0.5914929;0.01905;0.5724429;1.9122825;1.428175;0.4841075000000001
2017-08-30;0.5950782;0.020899999999999978;0.5741782000000001;1.92917828571429;1.4462714285714255;0.4829068571428645
2017-08-31;0.5986635;0.02275;0.5759135;1.94607407142857;1.4643678571428616;0.4817062142857085
2017-09-01;0.6022487999999999;0.0246;0.5776488;1.9629698571428602;1.4824642857142871;0.4805055714285729
2017-09-02;0.6058341;0.02645;0.5793841;1.9798656428571402;1.5005607142857127;0.47930492857142737
2017-09-03;0.6094194;0.028300000000000002;0.5811194000000001;1.9967614285714301;1.5186571428571385;0.4781042857142916
2017-09-04;0.6124319571428569;0.03015;0.582281957142857;2.0136572142857103;1.5367535714285743;0.47690364285713577
2017-09-05;0.615444514285714;0.032;0.5834445142857141;2.0305530000000003;1.5548499999999998;0.4757030000000002
2017-09-06;0.618457071428571;0.0390714285714286;0.5793856428571424;2.04744878571429;1.5729464285714256;0.4745023571428642
2017-09-07;0.621469628571429;0.0461428571428571;0.5753267714285719;2.06434457142857;1.5910428571428616;0.4733017142857084
2017-09-08;0.6244821857142859;0.0532142857142857;0.5712679000000003;2.08124035714286;1.6091392857142872;0.4721010714285728
2017-09-09;0.627494742857143;0.06028571428571431;0.5672090285714287;2.09813614285714;1.627235714285713;0.47090042857142705
2017-09-10;0.6305073;0.06735714285714291;0.5631501571428571;2.11503192857143;1.6453321428571386;0.4696997857142915
2017-09-11;0.644177514285714;0.0744285714285714;0.5697489428571425;2.13192771428571;1.6634285714285744;0.4684991428571357
2017-09-12;0.657847728571429;0.0815;0.576347728571429;2.1488235;1.6815250000000002;0.4672984999999999
2017-09-13;0.6715179428571431;0.0885714285714286;0.5829465142857144;2.16571928571429;1.6996214285714257;0.46609785714286434
2017-09-14;0.685188157142857;0.09564285714285711;0.5895452999999999;2.18261507142857;1.7177178571428615;0.4648972142857085
2017-09-15;0.698858371428571;0.1027142857142857;0.5961440857142853;2.19951085714286;1.7358142857142873;0.46369657142857273
