Dato;Inorganisk_N[mg/l];Organisk_N[mg/l]
2017-01-01;1.235;0.19801099999999996
2017-01-02;1.235;0.19801099999999996
2017-01-03;1.235;0.19801099999999996
2017-01-04;1.235;0.19801099999999996
2017-01-05;1.235;0.19801099999999996
2017-01-06;1.235;0.19801099999999996
2017-01-07;1.215;0.23742914285714006
2017-01-08;1.195;0.2768472857142899
2017-01-09;1.175;0.31626542857143
2017-01-10;1.155;0.3556835714285701
2017-01-11;1.135;0.39510171428570995
2017-01-12;1.115;0.43451985714286
2017-01-13;1.095;0.47393800000000014
2017-01-14;1.098148148148148;0.4549950740740719
2017-01-15;1.101296296296296;0.43605214814814397
2017-01-16;1.104444444444444;0.41710922222222624
2017-01-17;1.1075925925925931;0.3981662962962969
2017-01-18;1.1107407407407408;0.37922337037036913
2017-01-19;1.1138888888888892;0.36028044444444096
2017-01-20;1.117037037037037;0.341337518518523
2017-01-21;1.120185185185185;0.322394592592595
2017-01-22;1.123333333333333;0.30345166666666706
2017-01-23;1.126481481481482;0.28450874074073795
2017-01-24;1.12962962962963;0.26556581481481
2017-01-25;1.132777777777778;0.24662288888889203
2017-01-26;1.13592592592593;0.22767996296295998
2017-01-27;1.1390740740740701;0.20873703703703997
2017-01-28;1.14222222222222;0.18979411111111016
2017-01-29;1.14537037037037;0.17085118518518994
2017-01-30;1.14851851851852;0.15190825925925994
2017-01-31;1.1516666666666702;0.1329653333333299
2017-02-01;1.15481481481481;0.1140224074074099
2017-02-02;1.15796296296296;0.09507948148148011
2017-02-03;1.1611111111111099;0.0761365555555601
2017-02-04;1.16425925925926;0.05719362962962987
2017-02-05;1.16740740740741;0.03825070370370008
2017-02-06;1.17055555555556;0.019307777777770072
2017-02-07;1.1737037037037001;0.00036485185185983936
2017-02-08;1.17685185185185;0.0
2017-02-09;1.18;0.0
2017-02-10;1.19893333333333;0.0
2017-02-11;1.21786666666667;0.0
2017-02-12;1.2368;0.0
2017-02-13;1.2557333333333303;0.0
2017-02-14;1.27466666666667;0.0
2017-02-15;1.2935999999999999;0.0
2017-02-16;1.3125333333333302;0.0
2017-02-17;1.33146666666667;0.0
2017-02-18;1.3504;0.0
2017-02-19;1.3693333333333302;0.0
2017-02-20;1.3882666666666699;0.0
2017-02-21;1.4072;0.0
2017-02-22;1.4261333333333301;0.0
2017-02-23;1.44506666666667;0.0
2017-02-24;1.464;0.0
2017-02-25;1.442642857142859;0.0
2017-02-26;1.421285714285717;0.0
2017-02-27;1.399928571428576;0.030236464285713964
2017-02-28;1.378571428571424;0.06837378571428622
2017-03-01;1.357214285714283;0.10651110714285687
2017-03-02;1.335857142857141;0.1446484285714289
2017-03-03;1.3145;0.18278575000000002
2017-03-04;1.293142857142859;0.22092307142857112
2017-03-05;1.271785714285717;0.25906039285714316
2017-03-06;1.250428571428576;0.2971977142857138
2017-03-07;1.229071428571424;0.3353350357142861
2017-03-08;1.207714285714283;0.3734723571428569
2017-03-09;1.1863571428571411;0.411609678571429
2017-03-10;1.165;0.44974700000000006
2017-03-11;1.174428571428574;0.41894764285713587
2017-03-12;1.1838571428571387;0.3881482857142912
2017-03-13;1.193285714285713;0.35734892857142725
2017-03-14;1.2027142857142872;0.32654957142857277
2017-03-15;1.2121428571428612;0.2957502142857088
2017-03-16;1.2215714285714256;0.26495085714286437
2017-03-17;1.231;0.23415149999999996
2017-03-18;1.2404285714285743;0.20335214285713574
