Dato;Inorganisk_N[mg/l];Organisk_N[mg/l]
01-01-2017;0.07362745098000001;0.10713071082
02-01-2017;0.07494117647000001;0.10509977453000001
03-01-2017;0.07625490196;0.10306883824
04-01-2017;0.07756862745000001;0.10103790195
05-01-2017;0.07888235294000001;0.09900696565999999
06-01-2017;0.08019607843;0.09697602946999999
07-01-2017;0.08150980392;0.09494509318000002
08-01-2017;0.0828235294;0.09291415690000002
09-01-2017;0.08413725489;0.09088322061000001
10-01-2017;0.08545098038;0.08885228432
11-01-2017;0.08676470588000001;0.08682134802
12-01-2017;0.08807843137;0.08479041172999999
13-01-2017;0.08939215686;0.08275947554000002
14-01-2017;0.09070588235;0.08072853925000001
15-01-2017;0.09201960784;0.07869760296
16-01-2017;0.09333333333;0.07666666667
17-01-2017;0.09248809524000001;0.08161904766000001
18-01-2017;0.09164285714;0.08657142856
19-01-2017;0.09079761904;0.09152380955999999
20-01-2017;0.08995238095000001;0.09647619045000001
21-01-2017;0.08910714286;0.10142857144
22-01-2017;0.08826190476000001;0.10638095233999999
23-01-2017;0.08741666667;0.11133333333
24-01-2017;0.08657142857;0.11628571433000003
25-01-2017;0.08572619047;0.12123809523
26-01-2017;0.08488095238;0.12619047622
27-01-2017;0.08403571429000001;0.13114285711000004
28-01-2017;0.08319047619;0.13609523811
29-01-2017;0.082345238092;0.14104761900799997
30-01-2017;0.0815;0.146
31-01-2017;0.081454545455;0.145549693945
01-02-2017;0.081409090909;0.145099387891
02-02-2017;0.08136363636;0.14464908184
03-02-2017;0.08131818181999999;0.14419877578
04-02-2017;0.08127272727;0.14374846973000002
05-02-2017;0.08122727273;0.14329816357
06-02-2017;0.08118181818;0.14284785751999998
07-02-2017;0.08113636364000001;0.14239755146
08-02-2017;0.08109090909;0.14194724541
09-02-2017;0.08104545455;0.14149693935
10-02-2017;0.081;0.1410466333
11-02-2017;0.07930769231;0.14429873839000001
12-02-2017;0.07761538461;0.14755084359
13-02-2017;0.07592307692;0.15080294868000002
14-02-2017;0.07423076923;0.15405505386999999
15-02-2017;0.07253846154;0.15730715895999997
16-02-2017;0.07084615384;0.16055926406
17-02-2017;0.06915384616;0.16381136924
18-02-2017;0.067461538467;0.167063474333
19-02-2017;0.06576923077400001;0.170315579426
20-02-2017;0.064076923082;0.17356768461799998
21-02-2017;0.062384615389;0.176819789711
22-02-2017;0.060692307696;0.180071894904
23-02-2017;0.059000000003;0.18332399999700003
24-02-2017;0.056805128204;0.184969643596
25-02-2017;0.054610256414999996;0.186615287185
26-02-2017;0.052415384616;0.188260930784
27-02-2017;0.050220512827000005;0.18990657437300001
28-02-2017;0.048025641028000006;0.191552217972
01-03-2017;0.04583076922900001;0.193197861571
02-03-2017;0.04363589744100001;0.194843505059
03-03-2017;0.041441025642;0.19648914865800002
04-03-2017;0.039246153843;0.19813479225699998
05-03-2017;0.037051282054;0.199780435846
06-03-2017;0.034856410255;0.20142607944500004
07-03-2017;0.032661538466;0.203071723034
08-03-2017;0.030466666667;0.20471736663300003
09-03-2017;0.02978611111;0.20376773889000002
10-03-2017;0.029105555554;0.20281811104599998
11-03-2017;0.028424999997;0.201868483303
12-03-2017;0.027744444440000002;0.20091885556
13-03-2017;0.027063888884000003;0.199969227716
14-03-2017;0.026383333337;0.199019599963
15-03-2017;0.02570277778;0.19806997222000003
16-03-2017;0.025022222224;0.197120344376
17-03-2017;0.024341666667;0.196170716633
18-03-2017;0.02366111111;0.19522108889
19-03-2017;0.022980555554;0.194271461046
20-03-2017;0.022299999997;0.193321833303
21-03-2017;0.022929411766000003;0.19346086073399998
22-03-2017;0.023558823524000003;0.19359988817600002
23-03-2017;0.024188235293;0.19373891570700003
24-03-2017;0.024817647061;0.193877943139
25-03-2017;0.02544705882;0.19401697058
26-03-2017;0.026076470589;0.194155998011
27-03-2017;0.026705882357;0.19429502544299998
28-03-2017;0.027335294116;0.194434052884
29-03-2017;0.027964705884;0.194573080416
30-03-2017;0.028594117643000003;0.19471210785700002
31-03-2017;0.029223529411000003;0.19485113528900003
01-04-2017;0.02985294118;0.19499016272
02-04-2017;0.030482352939;0.195129190161
03-04-2017;0.031111764707;0.195268217593
04-04-2017;0.031741176476;0.195407245124
05-04-2017;0.032370588234000006;0.195546272566
06-04-2017;0.033000000003000005;0.19568529999700002
07-04-2017;0.032358974357999996;0.195631928242
08-04-2017;0.031717948724;0.195578556376
09-04-2017;0.031076923079;0.195525184621
10-04-2017;0.030435897435;0.195471812865
11-04-2017;0.029794871800000004;0.195418441
12-04-2017;0.029153846155;0.195365069245
13-04-2017;0.028512820511;0.195311697489
14-04-2017;0.027871794876;0.195258325624
15-04-2017;0.027230769231000002;0.19520495386899997
16-04-2017;0.026589743586999996;0.19515158211300002
17-04-2017;0.025948717952;0.195098210248
18-04-2017;0.025307692308;0.195044838492
19-04-2017;0.024666666673;0.194991466727
20-04-2017;0.024025641028000002;0.194938094872
21-04-2017;0.023384615384;0.194884723116
22-04-2017;0.022743589749000002;0.194831351251
23-04-2017;0.022102564105;0.194777979495
24-04-2017;0.02146153846;0.19472460774000003
25-04-2017;0.020820512825;0.194671235875
26-04-2017;0.020179487181;0.194617864119
27-04-2017;0.019538461536;0.194564492364
28-04-2017;0.018897435901;0.19451112049900002
29-04-2017;0.018256410257;0.194457748743
30-04-2017;0.017615384612;0.19440437698800003
01-05-2017;0.016974358975000003;0.194351005125
02-05-2017;0.016333333332999998;0.194297633367
03-05-2017;0.01641025641;0.19638921289000003
04-05-2017;0.016487179487;0.198480792313
